31-07-2015	14,6
31-07-2015	96900
31-07-2015	1091
03-08-2015	1323
03-08-2015	14,7
03-08-2015	97700
03-08-2015	1091
04-08-2015	14,5
04-08-2015	97400
04-08-2015	1092,4
05-08-2015	97350
05-08-2015	1089,5
06-08-2015	1315
06-08-2015	97100
06-08-2015	1088
07-08-2015	14,8
07-08-2015	97500
07-08-2015	1084,6
10-08-2015	1347
10-08-2015	98000
10-08-2015	1098
11-08-2015	98810
11-08-2015	1107,85
12-08-2015	15,25
12-08-2015	99700
12-08-2015	1116,9
13-08-2015	1389
13-08-2015	15,35
13-08-2015	100100
13-08-2015	1116,25
14-08-2015	1415
14-08-2015	15,4
14-08-2015	101600
14-08-2015	1117
17-08-2015	1407
17-08-2015	15
17-08-2015	102900
17-08-2015	1116
18-08-2015	103900
18-08-2015	1119
19-08-2015	105500
19-08-2015	1121,4
20-08-2015	1487
20-08-2015	15,4
20-08-2015	108400
20-08-2015	1140,8
21-08-2015	108110
21-08-2015	1155,1
24-08-2015	1425
24-08-2015	109600
24-08-2015	1154,7
25-08-2015	14,5
25-08-2015	107800
25-08-2015	1149,8
26-08-2015	1360
26-08-2015	14,5
26-08-2015	105850
26-08-2015	1128,2
27-08-2015	1344
27-08-2015	14,3
27-08-2015	105600
27-08-2015	1120,3
28-08-2015	14,4
28-08-2015	105700
28-08-2015	1126,2
31-08-2015	1360
31-08-2015	14,5
31-08-2015	105980
31-08-2015	1128
01-09-2015	1365
01-09-2015	14,55
01-09-2015	1013
01-09-2015	106950
01-09-2015	1141
02-09-2015	14,6
02-09-2015	107400
02-09-2015	1135,7
03-09-2015	1414
03-09-2015	107100
03-09-2015	1122
04-09-2015	1410
04-09-2015	14,7
04-09-2015	108500
04-09-2015	1124,7
07-09-2015	1430
07-09-2015	109150
07-09-2015	1121
08-09-2015	108450
08-09-2015	1122
09-09-2015	15
09-09-2015	108400
09-09-2015	1120,3
10-09-2015	1450
10-09-2015	14,7
10-09-2015	108600
10-09-2015	1109,5
11-09-2015	14,6
11-09-2015	108250
11-09-2015	1106,2
14-09-2015	1440
14-09-2015	14,4
14-09-2015	108700
14-09-2015	1105,2
15-09-2015	14,35
15-09-2015	107900
15-09-2015	1107
16-09-2015	14,5
16-09-2015	107000
16-09-2015	1113,3
17-09-2015	1450
17-09-2015	15
17-09-2015	108150
17-09-2015	1116,3
18-09-2015	1460
18-09-2015	109050
18-09-2015	1138
21-09-2015	15,15
21-09-2015	109800
21-09-2015	1137
22-09-2015	1472
22-09-2015	15
22-09-2015	109750
22-09-2015	1131,2
28-09-2015	1463
28-09-2015	14,65
